timestamp,total_yes_count,yes_since_log_start,new_yes_since_previous
2023-08-24T00:53:37.314000,5579.0,0.0,0.0
2023-08-24T00:56:18.833000,5580.0,1.0,1.0
2023-08-24T00:57:18.680000,5581.0,2.0,1.0
2023-08-24T01:01:19.154000,5582.0,3.0,1.0
2023-08-24T01:08:18.586000,5583.0,4.0,1.0
2023-08-24T01:33:19.420000,5586.0,7.0,3.0
2023-08-24T01:34:19.572000,5588.0,9.0,2.0
2023-08-24T02:10:18.528000,5591.0,12.0,3.0
2023-08-24T02:14:18.652000,5598.0,19.0,7.0
2023-08-24T02:15:19.082000,5611.0,32.0,13.0
2023-08-24T02:26:19.550000,5614.0,35.0,3.0
2023-08-24T02:27:18.869000,5620.0,41.0,6.0
2023-08-24T02:28:18.872000,5622.0,43.0,2.0
2023-08-24T02:31:19.089000,5634.0,55.0,12.0
2023-08-24T02:32:19.158000,5636.0,57.0,2.0
2023-08-24T02:37:18.867000,5638.0,59.0,2.0
2023-08-24T02:38:19.366000,5644.0,65.0,6.0
2023-08-24T02:39:18.772000,5647.0,68.0,3.0
2023-08-24T02:50:19.480000,5648.0,69.0,1.0
2023-08-24T02:53:18.674000,5657.0,78.0,9.0
2023-08-24T03:10:18.330000,5658.0,79.0,1.0
2023-08-24T06:55:19.281000,5663.0,84.0,5.0
2023-08-24T08:13:18.757000,5678.0,99.0,15.0
2023-08-24T08:43:19.718000,5683.0,104.0,5.0
2023-08-24T08:53:19.518000,5685.0,106.0,2.0
2023-08-24T09:03:18.951000,5693.0,114.0,8.0
2023-08-24T09:13:19.255000,5705.0,126.0,12.0
2023-08-24T09:23:18.614000,5724.0,145.0,19.0
2023-08-24T09:33:19.037000,5729.0,150.0,5.0
2023-08-24T09:53:19.695000,5755.0,176.0,26.0
2023-08-24T10:13:18.371000,5770.0,191.0,15.0
2023-08-24T10:23:18.925000,5786.0,207.0,16.0
2023-08-24T10:33:18.611000,5795.0,216.0,9.0
2023-08-24T10:43:19.203000,5798.0,219.0,3.0
2023-08-24T10:53:18.717000,5831.0,252.0,33.0
2023-08-24T11:03:18.706000,5836.0,257.0,5.0
2023-08-24T11:33:19.267000,5845.0,266.0,9.0
2023-08-24T11:43:18.941000,5852.0,273.0,7.0
2023-08-24T12:13:19.051000,5853.0,274.0,1.0
2023-08-24T13:03:18.617000,5856.0,277.0,3.0
2023-08-24T13:13:18.568000,5855.0,276.0,-1.0
2023-08-24T13:33:18.729000,5864.0,285.0,9.0
2023-08-24T14:03:19.228000,5888.0,309.0,24.0
2023-08-24T14:13:18.912000,5909.0,330.0,21.0
2023-08-24T14:33:19.323000,5913.0,334.0,4.0
2023-08-24T14:43:20.023000,5918.0,339.0,5.0
2023-08-24T14:53:19.227000,5925.0,346.0,7.0
2023-08-24T15:23:18.532000,5928.0,349.0,3.0
2023-08-24T15:53:19.454000,5952.0,373.0,24.0
2023-08-24T16:33:18.822000,5963.0,384.0,11.0
2023-08-24T17:03:19.591000,5964.0,385.0,1.0
2023-08-24T18:43:18.715000,5982.0,403.0,18.0
2023-08-24T19:03:19.244000,6001.0,422.0,19.0
2023-08-24T19:13:18.431000,6019.0,440.0,18.0
2023-08-24T19:33:19.850000,6022.0,443.0,3.0
2023-08-24T19:53:19.702000,6023.0,444.0,1.0
2023-08-24T20:03:19.119000,6024.0,445.0,1.0
2023-08-24T20:23:18.952000,6027.0,448.0,3.0
2023-08-24T20:53:19.704000,6036.0,457.0,9.0
2023-08-24T21:03:19.617000,6037.0,458.0,1.0
2023-08-24T21:13:19.222000,6077.0,498.0,40.0
2023-08-24T21:23:18.452000,6113.0,534.0,36.0
2023-08-24T21:33:19.546000,6138.0,559.0,25.0
2023-08-24T21:43:18.717000,6168.0,589.0,30.0
2023-08-24T22:03:18.852000,6186.0,607.0,18.0
2023-08-24T22:13:21.797000,6211.0,632.0,25.0
2023-08-24T22:23:18.750000,6251.0,672.0,40.0
2023-08-24T22:28:03.451000,6268.0,689.0,17.0
2023-08-24T22:30:06.299000,6269.0,690.0,1.0
2023-08-24T22:33:18.520000,6270.0,691.0,1.0
2023-08-25T02:11:53.340000,6364.0,785.0,94.0
2023-08-25T02:23:19.328000,6366.0,787.0,2.0
2023-08-25T02:33:19.046000,6367.0,788.0,1.0
2023-08-25T02:53:19.217000,6370.0,791.0,3.0
2023-08-25T03:03:19.169000,6372.0,793.0,2.0
2023-08-25T04:13:19.115000,6373.0,794.0,1.0
2023-08-25T07:23:19.155000,6389.0,810.0,16.0
2023-08-25T08:33:18.823000,6391.0,812.0,2.0
2023-08-25T09:03:18.926000,6403.0,824.0,12.0
2023-08-25T09:13:18.519000,6419.0,840.0,16.0
2023-08-25T09:23:19.056000,6421.0,842.0,2.0
2023-08-25T09:33:18.852000,6425.0,846.0,4.0
2023-08-25T09:43:19.042000,6426.0,847.0,1.0
