branch,rank_in_branch,student_id,mentor_id,pct_complete,predicted_grade
CSE,1,G0092,M06,100.0,Average
CSE,2,G0093,M06,100.0,Average
CSE,3,G0094,M06,100.0,Average
CSE,4,G0095,M06,100.0,Average
CSE,5,G0096,M06,100.0,Average
CSE,6,G0098,M06,100.0,Average
CSE,7,G0100,M06,100.0,Average
CSE,8,G0101,M06,100.0,Average
CSE,9,G0102,M06,100.0,Average
CSE,10,G0103,M06,100.0,Average
CSE,11,G0104,M06,100.0,Average
CSE,12,G0105,M06,100.0,Average
CSE,13,G0106,M06,100.0,Average
CSE,14,G0107,M06,100.0,Average
CSE,15,G0110,M05,100.0,Average
CSE,16,G0113,M05,100.0,Average
CSE,17,G0115,M05,100.0,Average
CSE,18,G0120,M05,100.0,Average
CSE,19,G0122,M05,100.0,Average
CSE,20,G0123,M05,100.0,Average
CSE,21,G0124,M05,100.0,Average
CSE,22,G0126,M09,100.0,Average
CSE,23,G0127,M09,100.0,Average
CSE,24,G0129,M09,100.0,Average
CSE,25,G0132,M09,100.0,Average
CSE,26,G0133,M09,100.0,Average
CSE,27,G0137,M09,100.0,Average
CSE,28,G0141,M09,100.0,Average
CSE,29,G0142,M09,100.0,Average
CSE,30,G0143,M09,100.0,Average
CSE,31,G0146,M04,100.0,Average
CSE,32,G0147,M04,100.0,Average
CSE,33,G0148,M04,100.0,Average
CSE,34,G0150,M04,100.0,Average
CSE,35,G0152,M04,100.0,Average
CSE,36,G0153,M04,100.0,Average
CSE,37,G0154,M04,100.0,Average
CSE,38,G0156,M04,100.0,Average
CSE,39,G0157,M04,100.0,Average
CSE,40,G0159,M04,100.0,Average
CSE,41,G0161,M10,100.0,Average
CSE,42,G0162,M10,100.0,Average
CSE,43,G0163,M10,100.0,Average
CSE,44,G0164,M10,100.0,Average
CSE,45,G0165,M10,100.0,Average
CSE,46,G0170,M10,100.0,Average
CSE,47,G0171,M10,100.0,Average
CSE,48,G0174,M10,100.0,Average
CSE,49,G0151,M04,99.38,Average
CSE,50,G0125,M05,96.91,Average
CSE,51,G0175,M10,96.91,Average
CSE,52,G0173,M10,96.3,Average
CSE,53,G0109,M05,84.57,Average
CSE,54,G0097,M06,83.33,Average
CSE,55,G0138,M09,83.33,Average
CSE,56,G0135,M09,82.72,Average
CSE,57,G0128,M09,81.48,Average
CSE,58,G0145,M04,80.25,Average
CSE,59,G0114,M05,78.4,Below Average
CSE,60,G0116,M05,78.4,Below Average
CSE,61,G0144,M04,78.4,Below Average
CSE,62,G0099,M06,77.78,Below Average
CSE,63,G0139,M09,77.78,Below Average
CSE,64,G0108,M05,77.16,Below Average
CSE,65,G0149,M04,76.54,Below Average
CSE,66,G0118,M05,75.93,Below Average
CSE,67,G0172,M10,75.93,Below Average
CSE,68,G0131,M09,75.31,Below Average
CSE,69,G0117,M05,73.46,Below Average
CSE,70,G0158,M04,71.6,Below Average
CSE,71,G0160,M04,70.99,Below Average
CSE,72,G0119,M05,67.28,Below Average
CSE,73,G0140,M09,67.28,Below Average
CSE,74,G0134,M09,66.05,Below Average
CSE,75,G0130,M09,65.43,Below Average
CSE,76,G0121,M05,62.35,Below Average
CSE,77,G0167,M10,60.49,Below Average
CSE,78,G0168,M10,58.64,Below Average
CSE,79,G0001,M10,54.94,Needs Attention
CSE,80,G0111,M05,45.68,Needs Attention
CSE,81,G0136,M09,45.68,Needs Attention
CSE,82,G0112,M05,45.06,Needs Attention
CSE,83,G0155,M04,38.89,Needs Attention
CSE,84,G0166,M10,37.65,Needs Attention
Mathcomp,1,G0176,M07,100.0,Average
Mathcomp,2,G0180,M08,100.0,Average
Mathcomp,3,G0181,M08,100.0,Average
Mathcomp,4,G0183,M08,100.0,Average
Mathcomp,5,G0185,M08,100.0,Average
Mathcomp,6,G0186,M08,100.0,Average
Mathcomp,7,G0188,M08,100.0,Average
Mathcomp,8,G0189,M08,100.0,Average
Mathcomp,9,G0190,M08,100.0,Average
Mathcomp,10,G0194,M08,100.0,Average
Mathcomp,11,G0195,M08,100.0,Average
Mathcomp,12,G0196,M11,100.0,Average
Mathcomp,13,G0197,M11,100.0,Average
Mathcomp,14,G0198,M11,100.0,Average
Mathcomp,15,G0205,M11,100.0,Average
Mathcomp,16,G0208,M11,100.0,Average
Mathcomp,17,G0211,M11,100.0,Average
Mathcomp,18,G0184,M08,98.77,Average
Mathcomp,19,G0206,M11,91.36,Average
Mathcomp,20,G0210,M11,89.51,Average
Mathcomp,21,G0207,M11,83.33,Average
Mathcomp,22,G0203,M11,81.48,Average
Mathcomp,23,G0191,M08,79.63,Below Average
Mathcomp,24,G0182,M08,79.01,Below Average
Mathcomp,25,G0179,M08,76.54,Below Average
Mathcomp,26,G0204,M11,75.93,Below Average
Mathcomp,27,G0199,M11,75.31,Below Average
Mathcomp,28,G0202,M11,75.31,Below Average
Mathcomp,29,G0177,M07,74.07,Below Average
Mathcomp,30,G0187,M08,74.07,Below Average
Mathcomp,31,G0200,M11,74.07,Below Average
Mathcomp,32,G0201,M11,74.07,Below Average
Mathcomp,33,G0193,M08,73.46,Below Average
Mathcomp,34,G0209,M11,61.11,Below Average
Mathcomp,35,G0192,M08,54.94,Needs Attention
AI,1,G0003,M01,100.0,Average
AI,2,G0004,M01,100.0,Average
AI,3,G0007,M01,100.0,Average
AI,4,G0009,M01,100.0,Average
AI,5,G0010,M01,100.0,Average
AI,6,G0011,M01,100.0,Average
AI,7,G0013,M01,100.0,Average
AI,8,G0016,M01,100.0,Average
AI,9,G0017,M01,100.0,Average
AI,10,G0018,M01,100.0,Average
AI,11,G0019,M01,100.0,Average
AI,12,G0020,M06,100.0,Average
AI,13,G0021,M06,100.0,Average
AI,14,G0012,M01,84.57,Average
AI,15,G0006,M01,65.43,Below Average
AI,16,G0002,M01,64.81,Below Average
AI,17,G0005,M01,61.73,Below Average
AI,18,G0008,M01,58.64,Below Average
AI,19,G0014,M01,58.02,Below Average
AI,20,G0015,M01,54.94,Needs Attention
Civil,1,G0038,M02,100.0,Average
Civil,2,G0050,M12,100.0,Average
Civil,3,G0054,M12,100.0,Average
Civil,4,G0024,M02,84.57,Average
Civil,5,G0029,M02,84.57,Average
Civil,6,G0030,M02,84.57,Average
Civil,7,G0053,M12,84.57,Average
Civil,8,G0022,M02,81.48,Average
Civil,9,G0041,M12,80.25,Average
Civil,10,G0047,M12,80.25,Average
Civil,11,G0043,M12,76.54,Below Average
Civil,12,G0049,M12,69.75,Below Average
Civil,13,G0023,M02,69.14,Below Average
Civil,14,G0035,M02,69.14,Below Average
Civil,15,G0056,M12,68.52,Below Average
Civil,16,G0033,M02,67.9,Below Average
Civil,17,G0044,M12,66.05,Below Average
Civil,18,G0051,M12,64.81,Below Average
Civil,19,G0052,M12,64.2,Below Average
Civil,20,G0042,M12,61.73,Below Average
Civil,21,G0028,M02,61.11,Below Average
Civil,22,G0040,M12,61.11,Below Average
Civil,23,G0031,M02,60.49,Below Average
Civil,24,G0025,M02,58.64,Below Average
Civil,25,G0045,M12,58.64,Below Average
Civil,26,G0048,M12,58.64,Below Average
Civil,27,G0036,M02,57.41,Below Average
Civil,28,G0055,M12,51.85,Needs Attention
Civil,29,G0039,M02,46.3,Needs Attention
Civil,30,G0046,M12,38.27,Needs Attention
Civil,31,G0034,M02,20.99,Needs More Attention
Chem,1,G0063,M03,100.0,Average
Chem,2,G0065,M03,100.0,Average
Chem,3,G0071,M03,100.0,Average
Chem,4,G0077,M07,100.0,Average
Chem,5,G0078,M07,100.0,Average
Chem,6,G0084,M07,100.0,Average
Chem,7,G0087,M07,100.0,Average
Chem,8,G0072,M03,98.77,Average
Chem,9,G0080,M07,98.77,Average
Chem,10,G0075,M03,95.68,Average
Chem,11,G0059,M03,83.33,Average
Chem,12,G0073,M03,80.25,Average
Chem,13,G0090,M07,79.63,Below Average
Chem,14,G0064,M03,79.01,Below Average
Chem,15,G0091,M07,79.01,Below Average
Chem,16,G0081,M07,78.4,Below Average
Chem,17,G0088,M07,77.78,Below Average
Chem,18,G0058,M03,75.31,Below Average
Chem,19,G0060,M03,75.31,Below Average
Chem,20,G0085,M07,72.22,Below Average
Chem,21,G0083,M07,70.37,Below Average
Chem,22,G0069,M03,69.14,Below Average
Chem,23,G0066,M03,66.05,Below Average
Chem,24,G0082,M07,64.81,Below Average
Chem,25,G0086,M07,64.81,Below Average
Chem,26,G0062,M03,64.2,Below Average
Chem,27,G0068,M03,64.2,Below Average
Chem,28,G0057,M12,61.11,Below Average
Chem,29,G0076,M07,58.64,Below Average
Chem,30,G0089,M07,57.41,Below Average
Chem,31,G0061,M03,53.7,Needs Attention
Chem,32,G0067,M03,53.7,Needs Attention
Chem,33,G0079,M07,48.15,Needs Attention
