mentor_id,students_mentored,pct_progress_mean,pct_evaluated_mean,pct_pending
M01,18,86.00777778,86.00777778,0
M02,18,52.57277778,48.69666667,3.876111111
M03,18,69.925,67.07777778,2.847222222
M04,17,89.17941176,88.59823529,0.5811764706
M05,18,82.51111111,82.20277778,0.3083333333
M06,18,97.83944444,97.83944444,0
M07,18,79.115,79.115,0
M08,18,85.35666667,84.60166667,0.755
M09,18,85.83666667,84.01888889,1.817777778
M10,16,80.05375,80.05375,0
M11,16,86.3425,82.7925,3.55
M12,18,69.23833333,64.12611111,5.112222222
