student_id,branch,mentor_id,pct_complete_self_reported,pct_demonstrated_viva,predicted_grade
G0001,CSE,M10,54.94,54.94,Needs Attention
G0002,AI,M01,64.81,64.81,Below Average
G0003,AI,M01,100.0,100.00,Average
G0004,AI,M01,100.0,100.00,Average
G0005,AI,M01,61.73,61.73,Below Average
G0006,AI,M01,65.43,65.43,Below Average
G0007,AI,M01,100.0,100.00,Average
G0008,AI,M01,58.64,58.64,Below Average
G0009,AI,M01,100.0,100.00,Average
G0010,AI,M01,100.0,100.00,Average
G0011,AI,M01,100.0,100.00,Average
G0012,AI,M01,84.57,84.57,Average
G0013,AI,M01,100.0,100.00,Average
G0014,AI,M01,58.02,58.02,Below Average
G0015,AI,M01,54.94,54.94,Needs Attention
G0016,AI,M01,100.0,100.00,Average
G0017,AI,M01,100.0,100.00,Average
G0018,AI,M01,100.0,100.00,Average
G0019,AI,M01,100.0,100.00,Average
G0020,AI,M06,100.0,100.00,Average
G0021,AI,M06,100.0,100.00,Average
G0022,Civil,M02,81.48,70.99,Average
G0023,Civil,M02,69.14,68.52,Below Average
G0024,Civil,M02,84.57,74.07,Average
G0025,Civil,M02,58.64,58.64,Below Average
G0028,Civil,M02,61.11,61.11,Below Average
G0029,Civil,M02,84.57,74.07,Average
G0030,Civil,M02,84.57,74.07,Average
G0031,Civil,M02,60.49,60.49,Below Average
G0033,Civil,M02,67.9,64.81,Below Average
G0034,Civil,M02,20.99,20.99,Needs More Attention
G0035,Civil,M02,69.14,69.14,Below Average
G0036,Civil,M02,57.41,57.41,Below Average
G0038,Civil,M02,100.0,75.93,Average
G0039,Civil,M02,46.3,46.30,Needs Attention
G0040,Civil,M12,61.11,61.11,Below Average
G0041,Civil,M12,80.25,74.07,Average
G0042,Civil,M12,61.73,61.73,Below Average
G0043,Civil,M12,76.54,74.07,Below Average
G0044,Civil,M12,66.05,64.81,Below Average
G0045,Civil,M12,58.64,58.64,Below Average
G0046,Civil,M12,38.27,38.27,Needs Attention
G0047,Civil,M12,80.25,74.07,Average
G0048,Civil,M12,58.64,58.64,Below Average
G0049,Civil,M12,69.75,64.81,Below Average
G0050,Civil,M12,100.0,74.07,Average
G0051,Civil,M12,64.81,63.58,Below Average
G0052,Civil,M12,64.2,60.49,Below Average
G0053,Civil,M12,84.57,74.07,Average
G0054,Civil,M12,100.0,74.07,Average
G0055,Civil,M12,51.85,51.85,Needs Attention
G0056,Civil,M12,68.52,64.81,Below Average
G0057,Chemical,M12,61.11,61.11,Below Average
G0058,Chemical,M03,75.31,70.99,Below Average
G0059,Chemical,M03,83.33,74.07,Average
G0060,Chemical,M03,75.31,70.99,Below Average
G0061,Chemical,M03,53.7,53.70,Needs Attention
G0062,Chemical,M03,64.2,61.73,Below Average
G0063,Chemical,M03,100.0,100.00,Average
G0064,Chemical,M03,79.01,74.07,Below Average
G0065,Chemical,M03,100.0,100.00,Average
G0066,Chemical,M03,66.05,66.05,Below Average
G0067,Chemical,M03,53.7,53.70,Needs Attention
G0068,Chemical,M03,64.2,64.20,Below Average
G0069,Chemical,M03,69.14,64.81,Below Average
G0071,Chemical,M03,100.0,100.00,Average
G0072,Chemical,M03,98.77,98.77,Average
G0073,Chemical,M03,80.25,80.25,Average
G0075,Chemical,M03,95.68,74.07,Average
G0076,Chemical,M07,58.64,58.64,Below Average
G0077,Chemical,M07,100.0,100.00,Average
G0078,Chemical,M07,100.0,100.00,Average
G0079,Chemical,M07,48.15,48.15,Needs Attention
G0080,Chemical,M07,98.77,98.77,Average
G0081,Chemical,M07,78.4,78.40,Below Average
G0082,Chemical,M07,64.81,64.81,Below Average
G0083,Chemical,M07,70.37,70.37,Below Average
G0084,Chemical,M07,100.0,100.00,Average
G0085,Chemical,M07,72.22,72.22,Below Average
G0086,Chemical,M07,64.81,64.81,Below Average
G0087,Chemical,M07,100.0,100.00,Average
G0088,Chemical,M07,77.78,77.78,Below Average
G0089,Chemical,M07,57.41,57.41,Below Average
G0090,Chemical,M07,79.63,79.63,Below Average
G0091,Chemical,M07,79.01,79.01,Below Average
G0092,CSE,M06,100.0,100.00,Average
G0093,CSE,M06,100.0,100.00,Average
G0094,CSE,M06,100.0,100.00,Average
G0095,CSE,M06,100.0,100.00,Average
G0096,CSE,M06,100.0,100.00,Average
G0097,CSE,M06,83.33,83.33,Average
G0098,CSE,M06,100.0,100.00,Average
G0099,CSE,M06,77.78,77.78,Below Average
G0100,CSE,M06,100.0,100.00,Average
G0101,CSE,M06,100.0,100.00,Average
G0102,CSE,M06,100.0,100.00,Average
G0103,CSE,M06,100.0,100.00,Average
G0104,CSE,M06,100.0,100.00,Average
G0105,CSE,M06,100.0,100.00,Average
G0106,CSE,M06,100.0,100.00,Average
G0107,CSE,M06,100.0,100.00,Average
G0108,CSE,M05,77.16,73.46,Below Average
G0109,CSE,M05,84.57,84.57,Average
G0110,CSE,M05,100.0,100.00,Average
G0111,CSE,M05,45.68,45.68,Needs Attention
G0112,CSE,M05,45.06,43.21,Needs Attention
G0113,CSE,M05,100.0,100.00,Average
G0114,CSE,M05,78.4,78.40,Below Average
G0115,CSE,M05,100.0,100.00,Average
G0116,CSE,M05,78.4,78.40,Below Average
